,MturkId,Userid,EmailId,TrainingPeriod,Trial,Condition,Decision,EmailType,Action,Confidence,ReactionTime,Correct
255,AWWR9PY50W0Z9,638049002,973,Training,28,GPT-GPT,true,ham,3,4,6033,0
256,A1YZ0ETOCJO1B2,864832498,25,Training,4,GPT-GPT,true,phishing,4,5,2900,1
257,AWWR9PY50W0Z9,638049002,552,Training,29,GPT-GPT,true,phishing,4,4,1991,1
258,A13WTEQ06V3B6D,129390671,417,Training,6,GPT-GPT,true,phishing,4,3,2172,1
259,A13WTEQ06V3B6D,129390671,1257,Training,7,GPT-GPT,false,ham,2,2,1602,1
260,AWWR9PY50W0Z9,638049002,1437,Training,30,GPT-GPT,false,ham,3,4,1873,1
261,A13WTEQ06V3B6D,129390671,25,Training,8,GPT-GPT,true,phishing,4,3,1617,1
262,AWWR9PY50W0Z9,638049002,685,Training,31,GPT-GPT,true,phishing,3,4,2058,1
263,A1YZ0ETOCJO1B2,864832498,472,Training,5,GPT-GPT,true,phishing,4,2,3556,1
264,A13WTEQ06V3B6D,129390671,121,Training,9,GPT-GPT,false,phishing,3,3,1453,0
265,A1AYQ8E01NSY5Z,140544808,1237,Training,13,GPT-GPT,true,ham,4,5,4254,0
266,A13WTEQ06V3B6D,129390671,1185,Training,10,GPT-GPT,false,ham,4,2,1609,1
267,A13WTEQ06V3B6D,129390671,1297,Training,11,GPT-GPT,false,ham,3,2,1493,1
268,A1YZ0ETOCJO1B2,864832498,401,Training,6,GPT-GPT,true,phishing,3,5,2683,1
269,A13WTEQ06V3B6D,129390671,221,Training,12,GPT-GPT,true,phishing,3,3,1200,1
270,A13WTEQ06V3B6D,129390671,225,Training,13,GPT-GPT,true,phishing,4,3,909,1
271,A13WTEQ06V3B6D,129390671,321,Training,14,GPT-GPT,true,phishing,4,3,1672,1
272,A1YZ0ETOCJO1B2,864832498,221,Training,7,GPT-GPT,true,phishing,2,3,4040,1
273,A13WTEQ06V3B6D,129390671,568,Training,15,GPT-GPT,true,phishing,4,3,1951,1
274,A1AYQ8E01NSY5Z,140544808,1189,Training,14,GPT-GPT,false,ham,4,2,18081,1
275,A13WTEQ06V3B6D,129390671,1157,Training,16,GPT-GPT,false,ham,3,2,1989,1
276,AWWR9PY50W0Z9,638049002,805,Training,32,GPT-GPT,true,ham,3,4,88218,0
277,A1YZ0ETOCJO1B2,864832498,921,Training,8,GPT-GPT,false,ham,3,4,3424,1
278,A13WTEQ06V3B6D,129390671,1281,Training,17,GPT-GPT,false,ham,2,4,1277,1
279,AWWR9PY50W0Z9,638049002,241,Training,33,GPT-GPT,true,phishing,3,4,1865,1
280,A13WTEQ06V3B6D,129390671,953,Training,18,GPT-GPT,false,ham,3,4,1744,1
281,AWWR9PY50W0Z9,638049002,1373,Training,34,GPT-GPT,true,ham,3,4,1948,0
282,A1YZ0ETOCJO1B2,864832498,809,Training,9,GPT-GPT,false,ham,4,2,3592,1
283,AWWR9PY50W0Z9,638049002,57,Training,35,GPT-GPT,true,phishing,3,4,2972,1
284,A13WTEQ06V3B6D,129390671,969,Training,19,GPT-GPT,false,ham,3,2,1431,1
285,AWWR9PY50W0Z9,638049002,989,Training,36,GPT-GPT,false,ham,3,4,3065,1
286,A13WTEQ06V3B6D,129390671,309,Training,20,GPT-GPT,false,phishing,3,3,1735,0
287,A1AYQ8E01NSY5Z,140544808,677,Training,15,GPT-GPT,true,phishing,2,5,24760,1
288,A1YZ0ETOCJO1B2,864832498,1125,Training,10,GPT-GPT,false,ham,3,2,2715,1
