UserId,Experiment,ExperimentCondition,EmailId,PhaseTrial,Decision,EmailType,PhaseValue,Confidence,EmailAction,ReactionTime,Correct
416361962,1,GPT-4 Written GPT-4 Styled,1417.0,21,false,ham,Training,4,4,14790,1
166515386,1,Human Written GPT-4 Styled,423.0,31,false,phishing,Training,3,2,3422,0
293449694,1,GPT-4 Written Plain Styled,314.0,15,true,phishing,Training,4,5,8210,1
166515386,1,Human Written GPT-4 Styled,651.0,30,false,phishing,Training,3,1,3473,0
166515386,1,Human Written GPT-4 Styled,339.0,29,false,phishing,Training,2,1,3432,0
416361962,1,GPT-4 Written GPT-4 Styled,237.0,20,true,phishing,Training,4,5,21327,1
166515386,1,Human Written GPT-4 Styled,1439.0,28,false,ham,Training,3,2,2875,1
293449694,1,GPT-4 Written Plain Styled,465.0,14,false,phishing,Training,3,0,16063,0
166515386,1,Human Written GPT-4 Styled,371.0,27,false,phishing,Training,2,1,6335,0
166515386,1,Human Written GPT-4 Styled,995.0,26,false,ham,Training,1,1,6247,1
166515386,1,Human Written GPT-4 Styled,667.0,25,true,phishing,Training,3,1,3927,1
416361962,1,GPT-4 Written GPT-4 Styled,1397.0,19,false,ham,Training,3,1,25891,1
293449694,1,GPT-4 Written Plain Styled,998.0,13,false,ham,Training,2,2,17251,1
166515386,1,Human Written GPT-4 Styled,751.0,24,true,phishing,Training,4,1,8705,1
166515386,1,Human Written GPT-4 Styled,179.0,23,false,phishing,Training,2,2,3541,0
166515386,1,Human Written GPT-4 Styled,803.0,22,true,ham,Training,3,1,3208,0
293449694,1,GPT-4 Written Plain Styled,1038.0,12,false,ham,Training,2,2,12109,1
166515386,1,Human Written GPT-4 Styled,602.0,21,false,phishing,Training,3,1,2999,0
166515386,1,Human Written GPT-4 Styled,687.0,20,true,phishing,Training,2,0,4186,1
416361962,1,GPT-4 Written GPT-4 Styled,957.0,18,false,ham,Training,4,4,12924,1
166515386,1,Human Written GPT-4 Styled,1151.0,19,true,ham,Training,3,1,3383,0
166515386,1,Human Written GPT-4 Styled,779.0,18,false,ham,Training,2,2,3172,1
293449694,1,GPT-4 Written Plain Styled,86.0,11,true,phishing,Training,3,5,13267,1
166515386,1,Human Written GPT-4 Styled,558.0,17,false,phishing,Training,2,2,3813,0
416361962,1,GPT-4 Written GPT-4 Styled,488.0,17,true,phishing,Training,4,5,15407,1
166515386,1,Human Written GPT-4 Styled,419.0,16,true,phishing,Training,2,1,3373,1
166515386,1,Human Written GPT-4 Styled,1003.0,15,false,ham,Training,2,2,3678,1
293449694,1,GPT-4 Written Plain Styled,1174.0,10,true,ham,Training,3,5,16099,0
166515386,1,Human Written GPT-4 Styled,1443.0,14,false,ham,Training,3,1,9413,1
416361962,1,GPT-4 Written GPT-4 Styled,125.0,16,true,phishing,Training,4,5,15243,1
166515386,1,Human Written GPT-4 Styled,1327.0,13,false,ham,Training,2,1,3175,1
166515386,1,Human Written GPT-4 Styled,91.0,12,false,phishing,Training,3,1,99145,0
416361962,1,GPT-4 Written GPT-4 Styled,349.0,15,true,phishing,Training,4,5,14209,1
293449694,1,GPT-4 Written Plain Styled,826.0,9,false,ham,Training,2,2,19674,1
416361962,1,GPT-4 Written GPT-4 Styled,877.0,14,false,ham,Training,4,4,13039,1
293449694,1,GPT-4 Written Plain Styled,378.0,8,true,phishing,Training,2,5,24393,1
416361962,1,GPT-4 Written GPT-4 Styled,981.0,13,false,ham,Training,4,4,14666,1
416361962,1,GPT-4 Written GPT-4 Styled,341.0,12,true,phishing,Training,4,5,16753,1
293449694,1,GPT-4 Written Plain Styled,1158.0,7,false,ham,Training,3,2,15286,1
416361962,1,GPT-4 Written GPT-4 Styled,337.0,11,false,phishing,Training,2,4,33256,0
293449694,1,GPT-4 Written Plain Styled,374.0,6,true,phishing,Training,3,5,16193,1
166515386,1,Human Written GPT-4 Styled,719.0,11,false,phishing,Training,3,1,3393,0
166515386,1,Human Written GPT-4 Styled,1407.0,10,false,ham,Training,3,2,4383,1
166515386,1,Human Written GPT-4 Styled,99.0,9,false,phishing,Training,2,1,3822,0
166515386,1,Human Written GPT-4 Styled,1403.0,8,false,ham,Training,3,1,2681,1
416361962,1,GPT-4 Written GPT-4 Styled,313.0,10,true,phishing,Training,4,5,14974,1
293449694,1,GPT-4 Written Plain Styled,850.0,5,false,ham,Training,2,2,32096,1
166515386,1,Human Written GPT-4 Styled,1091.0,7,false,ham,Training,3,1,3473,1
166515386,1,Human Written GPT-4 Styled,679.0,6,false,phishing,Training,3,1,3398,0
